Double Bedroom,,,,,,,
Item,Small Rm Qnty,Mid Rm Qnty,Large Rm Qnty,Budget Price,Mid Price,Mid/High Price,High Price
Bed Frame,2,2,2,$500.00,"$1,500.00","$3,000.00","$8,000.00"
Mattress,2,2,2,"$1,300.00","$2,500.00","$5,000.00","$12,000.00"
Mattress protector,2,2,2,$20.00,$60.00,$100.00,$200.00
Sleeping Pillows,4,4,4,$15.00,$40.00,$100.00,$300.00
Down Pillows,4,4,4,$25.00,$60.00,$150.00,$400.00
Pillow protectors,4,4,4,$5.00,$25.00,$40.00,$100.00
Sheets,2,2,2,$30.00,$80.00,$250.00,$500.00
Decorative Bedding,2,2,2,$200.00,$400.00,$800.00,"$2,000.00"
Throw Pillows,6,6,6,$35.00,$80.00,$150.00,$400.00
Throw Blanket on Bed,2,2,2,$35.00,$100.00,$300.00,$600.00
Bench or Stools,2,2,2,$200.00,"$1,200.00","$2,500.00","$4,000.00"
Area Rug,1,2,3,$350.00,"$1,500.00","$3,000.00","$8,000.00"
Nightstands,1,3,4,$350.00,"$1,200.00","$2,500.00","$4,000.00"
Lamps,2,4,4,$100.00,$250.00,$600.00,"$2,000.00"
Nightstand Accessories,4,12,16,$20.00,$80.00,$150.00,$400.00
Curtain Set,1,2,3,$65.00,$140.00,$140.00,$140.00
Curtain Rod,1,2,3,$40.00,$40.00,$40.00,$40.00
Wall art,4,5,5,$100.00,$100.00,$100.00,$100.00
Mirror,1,1,1,$200.00,$200.00,$200.00,$200.00
TV,1,1,1,$400.00,$400.00,$400.00,$400.00
TV mount + install,1,1,1,$200.00,$200.00,$200.00,$200.00
Desk,0,1,1,$300.00,$300.00,$300.00,$300.00
Desk Chair,0,1,1,$200.00,$200.00,$200.00,$200.00
Desk Accessories,0,4,4,$30.00,$30.00,$30.00,$30.00
Dresser,0,1,1,$800.00,$800.00,$800.00,$800.00
Dresser Accessories,0,3,3,$25.00,$25.00,$25.00,$25.00
Bookshelf,0,0,1,$250.00,$800.00,"$1,500.00","$3,000.00"
Chair,0,0,2,$350.00,$350.00,$350.00,$350.00
Chair Throw Pillow,0,0,2,$35.00,$35.00,$35.00,$35.00
Chair Throw Blanket,0,0,2,$35.00,$35.00,$35.00,$35.00
Side Table,0,0,1,$150.00,$150.00,$150.00,$150.00
Greenery,0,0,2,$80.00,$80.00,$80.00,$80.00
Floor Lamp,0,0,1,$150.00,$150.00,$150.00,$150.00
,,,,Budget Pricing,Mid Pricing,Mid/High Pricing,High Pricing
,,Small Room Totals:,,"$7,245.00","$16,320.00","$33,260.00","$77,800.00"
,,Medium Room Totals:,,"$10,355.00","$21,500.00","$43,660.00","$101,000.00"
,,Large Room Totals:,,"$12,790.00","$25,460.00","$51,260.00","$117,600.00"
